--------------------------------------------------
492 cases of STEM IN BOTH
Case 350: rudyamAna: identical in BOTH
Case 351: ruDyamAna: identical in BOTH
Case 352: ruzyamARa: identical in BOTH
Case 353: ruhyamARa: identical in BOTH
Case 354: rUpyamARa: identical in BOTH
Case 355: rUyamARa: identical in BOTH
Case 356: lakzyamARa: identical in BOTH
Case 357: lagyamAna: identical in BOTH
Case 358: laNgyamAna: identical in BOTH
Case 359: laNGyamAna: identical in BOTH
Case 360: lajjyamAna: identical in BOTH
Case 361: lapyamAna: identical in BOTH
Case 362: laByamAna: identical in BOTH
Case 363: lambyamAna: identical in BOTH
Case 364: lalyamAna: identical in BOTH
Case 365: lazyamARa: identical in BOTH
Case 366: lasyamAna: identical in BOTH
Case 367: lAYCyamAna: identical in BOTH
Case 368: liKyamAna: identical in BOTH
Case 369: lipyamAna: identical in BOTH
Case 370: liSyamAna: identical in BOTH
Case 371: lihyamAna: identical in BOTH
Case 372: lIyamAna: identical in BOTH
Case 373: luWyamAna: identical in BOTH
Case 374: lupyamAna: identical in BOTH
Case 375: luByamAna: identical in BOTH
Case 376: lUyamAna: identical in BOTH
Case 377: lokyamAna: identical in BOTH
Case 378: locyamAna: identical in BOTH
Case 379: vandyamAna: identical in BOTH
Case 380: vanyamAna: identical in BOTH
Case 381: vamyamAna: identical in BOTH
Case 382: valgyamAna: identical in BOTH
Case 383: valyamAna: identical in BOTH
Case 384: vasyamAna: identical in BOTH
Case 385: vAYCyamAna: identical in BOTH
Case 386: vASyamAna: identical in BOTH
Case 387: vicyamAna: identical in BOTH
Case 388: vijyamAna: identical in BOTH
Case 389: vidyamAna: identical in BOTH
Case 390: viDyamAna: identical in BOTH
Case 391: viSyamAna: identical in BOTH
Case 392: vizyamARa: identical in BOTH
Case 393: vIjyamAna: identical in BOTH
Case 394: vIyamAna: identical in BOTH
Case 395: vfjyamAna: identical in BOTH
Case 396: vftyamAna: identical in BOTH
Case 397: vfDyamAna: identical in BOTH
Case 398: vfScyamAna: identical in BOTH
Case 399: vfzyamARa: identical in BOTH
Case 400: vfhyamARa: identical in BOTH
Case 401: venyamAna: identical in BOTH
Case 402: vezwyamAna: identical in BOTH
Case 403: vyaTyamAna: identical in BOTH
Case 404: vriyamARa: identical in BOTH
Case 405: vrIqyamAna: identical in BOTH
Case 406: SakyamAna: identical in BOTH
Case 407: SaNkyamAna: identical in BOTH
Case 408: SadyamAna: identical in BOTH
Case 409: SapyamAna: identical in BOTH
Case 410: SamyamAna: identical in BOTH
Case 411: SayyamAna: identical in BOTH
Case 412: SalyamAna: identical in BOTH
Case 413: SaSyamAna: identical in BOTH
Case 414: SasyamAna: identical in BOTH
Case 415: SikzyamARa: identical in BOTH
Case 416: SizyamARa: identical in BOTH
Case 417: SIyamAna: identical in BOTH
Case 418: SIryamARa: identical in BOTH
Case 419: SIlyamAna: identical in BOTH
Case 420: SucyamAna: identical in BOTH
Case 421: SuDyamAna: identical in BOTH
Case 422: SuByamAna: identical in BOTH
Case 423: SumByamAna: identical in BOTH
Case 424: SuzyamARa: identical in BOTH
Case 425: SUyamAna: identical in BOTH
Case 426: ScutyamAna: identical in BOTH
Case 427: SramyamARa: identical in BOTH
Case 428: SrIyamARa: identical in BOTH
Case 429: SrUyamARa: identical in BOTH
Case 430: SlAGyamAna: identical in BOTH
Case 431: SlizyamARa: identical in BOTH
Case 432: SvasyamAna: identical in BOTH
Case 433: SvityamAna: identical in BOTH
Case 434: sacyamAna: identical in BOTH
Case 435: sajyamAna: identical in BOTH
Case 436: sadyamAna: identical in BOTH
Case 437: sanyamAna: identical in BOTH
Case 438: sapyamAna: identical in BOTH
Case 439: sahyamAna: identical in BOTH
Case 440: sicyamAna: identical in BOTH
Case 441: siDyamAna: identical in BOTH
Case 442: sIyamAna: identical in BOTH
Case 443: supyamAna: identical in BOTH
Case 444: suryamARa: identical in BOTH
Case 445: sUcyamAna: identical in BOTH
Case 446: sUdyamAna: identical in BOTH
Case 447: sUyamAna: identical in BOTH
Case 448: sfjyamAna: identical in BOTH
Case 449: sfpyamARa: identical in BOTH
Case 450: sevyamAna: identical in BOTH
Case 451: skamByamAna: identical in BOTH
Case 452: sKalyamAna: identical in BOTH
Case 453: stanyamAna: identical in BOTH
Case 454: staByamAna: identical in BOTH
Case 455: stuByamAna: identical in BOTH
Case 456: stUyamAna: identical in BOTH
Case 457: sTIyamAna: identical in BOTH
Case 458: snihyamAna: identical in BOTH
Case 459: snuhyamAna: identical in BOTH
Case 460: snUyamAna: identical in BOTH
Case 461: spandyamAna: identical in BOTH
Case 462: sparDyamAna: identical in BOTH
Case 463: spfSyamAna: identical in BOTH
Case 464: sPalyamAna: identical in BOTH
Case 465: sPuwyamAna: identical in BOTH
Case 466: sPuryamARa: identical in BOTH
Case 467: smaryamARa: identical in BOTH
Case 468: smIyamAna: identical in BOTH
Case 469: sriyamARa: identical in BOTH
Case 470: svajyamAna: identical in BOTH
Case 471: svadyamAna: identical in BOTH
Case 472: svanyamAna: identical in BOTH
Case 473: svaryamARa: identical in BOTH
Case 474: svidyamAna: identical in BOTH
Case 475: haWyamAna: identical in BOTH
Case 476: hadyamAna: identical in BOTH
Case 477: hanyamAna: identical in BOTH
Case 478: hasyamAna: identical in BOTH
Case 479: hAyamAna: identical in BOTH
Case 480: hiMsyamAna: identical in BOTH
Case 481: hikkyamAna: identical in BOTH
Case 482: hIyamAna: identical in BOTH
Case 483: huRqyamAna: identical in BOTH
Case 484: hUyamAna: identical in BOTH
Case 485: hfzyamARa: identical in BOTH
Case 486: hnUyamAna: identical in BOTH
Case 487: hrasyamAna: identical in BOTH
Case 488: hrAdyamAna: identical in BOTH
Case 489: hriyamARa: identical in BOTH
Case 490: hlAdyamAna: identical in BOTH
Case 491: hvaryamARa: identical in BOTH
Case 492: hvalyamAna: identical in BOTH
--------------------------------------------------
1156 cases of STEM IN PYSAN ONLY
--------------------------------------------------
Case 01: aMSApyamAna: in pysan
Case 02: aMSyamAna: in pysan
Case 03: aMsApyamAna: in pysan
Case 04: aMsyamAna: in pysan
Case 05: aMhyamAna: in pysan
Case 06: akyamAna: in pysan
Case 07: agyamAna: in pysan
Case 08: aGyamAna: in pysan
Case 09: aNkyamAna: in pysan
Case 10: aNKyamAna: in pysan
Case 11: aNGyamAna: in pysan
Case 12: aYcyamAna: in pysan
Case 13: awwyamAna: in pysan
Case 14: aWyamAna: in pysan
Case 15: aqqyamAna: in pysan
Case 16: aqyamAna: in pysan
Case 17: aRWyamAna: in pysan
Case 18: aRyamAna: in pysan
Case 19: antyamAna: in pysan
Case 20: andyamAna: in pysan
Case 21: anDyamAna: in pysan
Case 22: anyamAna: in pysan
Case 23: aBryamARa: in pysan
Case 24: ambyamAna: in pysan
Case 25: ayyamAna: in pysan
Case 26: arcyamAna: in pysan
Case 27: arjyamAna: in pysan
Case 28: arbyamARa: in pysan
Case 29: arvyamARa: in pysan
Case 30: alyamAna: in pysan
Case 31: avalokyamAna: in pysan
Case 32: azyamARa: in pysan
Case 33: ahyamAna: in pysan
Case 34: iKyamAna: in pysan
Case 35: iNKyamAna: in pysan
Case 36: iwyamAna: in pysan
Case 37: iryamARa: in pysan
Case 38: IKyamAna: in pysan
Case 39: IjyamAna: in pysan
Case 40: IntyamAna: in pysan
Case 41: IrzyyamARa: in pysan
Case 42: ISyamAna: in pysan
Case 43: uKyamAna: in pysan
Case 44: uNKyamAna: in pysan
Case 45: uCyamAna: in pysan
Case 46: uWyamAna: in pysan
Case 47: uDrasyamAna: in pysan
Case 48: uDrAsyamAna: in pysan
Case 49: upAryamARa: in pysan
Case 50: ubjyamAna: in pysan
Case 51: ulAqyamAna: in pysan
Case 52: UyyamAna: in pysan
Case 53: UrRUyamAna: in pysan
Case 54: UrdyamAna: in pysan
Case 55: UrvyamARa: in pysan
Case 56: UzyamARa: in pysan
Case 57: fCyamAna: in pysan
Case 58: fYjyamAna: in pysan
Case 59: fRyamAna: in pysan
Case 60: ftIyamAna: in pysan
Case 61: ftyamAna: in pysan
Case 62: fPyamARa: in pysan
Case 63: eWyamAna: in pysan
Case 64: elyamAna: in pysan
Case 65: ezyamARa: in pysan
Case 66: oKyamAna: in pysan
Case 67: ojyamAna: in pysan
Case 68: oRyamAna: in pysan
Case 69: olaRqyamAna: in pysan
Case 70: kaMsyamAna: in pysan
Case 71: kakyamAna: in pysan
Case 72: kaKyamAna: in pysan
Case 73: kagyamAna: in pysan
Case 74: kaNkyamAna: in pysan
Case 75: kacyamAna: in pysan
Case 76: kajyamAna: in pysan
Case 77: kaYcyamAna: in pysan
Case 78: kawwyamAna: in pysan
Case 79: kawyamAna: in pysan
Case 80: kaWyamAna: in pysan
Case 81: kaqqyamAna: in pysan
Case 82: kaqyamAna: in pysan
Case 83: kaRwyamAna: in pysan
Case 84: kaRWyamAna: in pysan
Case 85: kaRyamAna: in pysan
Case 86: katryamARa: in pysan
Case 87: kadyamAna: in pysan
Case 88: kandyamAna: in pysan
Case 89: kanyamAna: in pysan
Case 90: kabyamAna: in pysan
Case 91: kambyamAna: in pysan
Case 92: kamyamAna: in pysan
Case 93: karjyamAna: in pysan
Case 94: karRyamAna: in pysan
Case 95: kartryamARa: in pysan
Case 96: kardyamAna: in pysan
Case 97: karbyamARa: in pysan
Case 98: karvyamARa: in pysan
Case 99: kallyamAna: in pysan
Case 100: kavyamAna: in pysan
Case 101: kaSyamAna: in pysan
Case 102: kAMsyamAna: in pysan
Case 103: kAYcyamAna: in pysan
Case 104: kARyamAna: in pysan
Case 105: kAmyamAna: in pysan
Case 106: kAryamARa: in pysan
Case 107: kAlyamAna: in pysan
Case 108: kAvyamAna: in pysan
Case 109: kAsyamAna: in pysan
Case 110: kiwyamAna: in pysan
Case 111: kityamAna: in pysan
Case 112: kilyamAna: in pysan
Case 113: kizkyamARa: in pysan
Case 114: kIwyamAna: in pysan
Case 115: kIyamAna: in pysan
Case 116: kuMSyamAna: in pysan
Case 117: kukyamAna: in pysan
Case 118: kujyamAna: in pysan
Case 119: kuYcyamAna: in pysan
Case 120: kuYjyamAna: in pysan
Case 121: kuwwyamAna: in pysan
Case 122: kuqyamAna: in pysan
Case 123: kuRyamAna: in pysan
Case 124: kuTyamAna: in pysan
Case 125: kundryamARa: in pysan
Case 126: kumbyamAna: in pysan
Case 127: kuryamARa: in pysan
Case 128: kuSyamAna: in pysan
Case 129: kuzyamARa: in pysan
Case 130: kuhyamAna: in pysan
Case 131: kUwyamAna: in pysan
Case 132: kUqyamAna: in pysan
Case 133: kURyamAna: in pysan
Case 134: kUpyamAna: in pysan
Case 135: kUyamAna: in pysan
Case 136: kUrdyamAna: in pysan
Case 137: kUlyamAna: in pysan
Case 138: kxpyamAna: in pysan
Case 139: kepyamAna: in pysan
Case 140: kelyamAna: in pysan
Case 141: kevyamAna: in pysan
Case 142: kEyamAna: in pysan
Case 143: kowyamAna: in pysan
Case 144: koRyamAna: in pysan
Case 145: kodyamAna: in pysan
Case 146: kopyamAna: in pysan
Case 147: knaMsyamAna: in pysan
Case 148: knaTyamAna: in pysan
Case 149: knasyamAna: in pysan
Case 150: knUyamAna: in pysan
Case 151: knUyyamAna: in pysan
Case 152: kmaryamARa: in pysan
Case 153: kraMSyamAna: in pysan
Case 154: kraTyamAna: in pysan
Case 155: krapyamARa: in pysan
Case 156: kruYcyamAna: in pysan
Case 157: kruqyamAna: in pysan
Case 158: kroqyamAna: in pysan
Case 159: klaTyamAna: in pysan
Case 160: klandyamAna: in pysan
Case 161: klindyamAna: in pysan
Case 162: klIbyamAna: in pysan
Case 163: kleSyamAna: in pysan
Case 164: kvaRyamAna: in pysan
Case 165: kzajyamAna: in pysan
Case 166: kzaRyamAna: in pysan
Case 167: kzampyamARa: in pysan
Case 168: kzAjyamAna: in pysan
Case 169: kzAyamARa: in pysan
Case 170: kzAlyamAna: in pysan
Case 171: kziRyamAna: in pysan
Case 172: kzivyamARa: in pysan
Case 173: kzIjyamAna: in pysan
Case 174: kzIbyamARa: in pysan
Case 175: kzIvyamARa: in pysan
Case 176: kzupyamARa: in pysan
Case 177: kzumpyamARa: in pysan
Case 178: kzuryamARa: in pysan
Case 179: kzUyamARa: in pysan
Case 180: kzowyamAna: in pysan
Case 181: kzRUyamAna: in pysan
Case 182: kzmAyyamARa: in pysan
Case 183: kzmIlyamAna: in pysan
Case 184: kzvidyamAna: in pysan
Case 185: kzvelyamAna: in pysan
Case 186: KacyamAna: in pysan
Case 187: KajyamAna: in pysan
Case 188: KaYjyamAna: in pysan
Case 189: KawwyamAna: in pysan
Case 190: KawyamAna: in pysan
Case 191: KaRqyamAna: in pysan
Case 192: KadyamAna: in pysan
Case 193: KambyamAna: in pysan
Case 194: KarjyamAna: in pysan
Case 195: KardyamAna: in pysan
Case 196: KarbyamARa: in pysan
Case 197: KarvyamARa: in pysan
Case 198: KalyamAna: in pysan
Case 199: KallyamAna: in pysan
Case 200: KazyamARa: in pysan
Case 201: KAcyamAna: in pysan
Case 202: KAqyamAna: in pysan
Case 203: KAyamAna: in pysan
Case 204: KiwyamAna: in pysan
Case 205: KujyamAna: in pysan
Case 206: KuRqyamAna: in pysan
Case 207: KudyamAna: in pysan
Case 208: KurdyamAna: in pysan
Case 209: KuryamARa: in pysan
Case 210: KUyamAna: in pysan
Case 211: KewyamAna: in pysan
Case 212: KEyamAna: in pysan
Case 213: KowyamAna: in pysan
Case 214: KoqyamAna: in pysan
Case 215: KoryamARa: in pysan
Case 216: KyAyamAna: in pysan
Case 217: gaYjyamAna: in pysan
Case 218: gaqyamAna: in pysan
Case 219: gaRqyamAna: in pysan
Case 220: gaDyamAna: in pysan
Case 221: ganDyamAna: in pysan
